# Source: https://thecvf.org/ (Climate Vulnerable Forum),,,
# Membership as of 2024,,,
country,region,in_cina_v5
Afghanistan,Asia,no
Bangladesh,Asia,yes
Barbados,SIDS,no
Benin,Africa,no
Bhutan,Asia,no
Burkina Faso,Africa,no
Cambodia,Asia,no
Colombia,LatAm,yes
Comoros,SIDS,no
Costa Rica,LatAm,yes
Côte d'Ivoire,Africa,no
Democratic Republic of the Congo,Africa,no
Dominican Republic,LatAm,no
Eritrea,Africa,no
Ethiopia,Africa,yes
Fiji,SIDS,no
Gambia,Africa,no
Ghana,Africa,yes
Grenada,SIDS,no
Guatemala,LatAm,no
Haiti,SIDS,no
Honduras,LatAm,no
Kenya,Africa,yes
Kiribati,SIDS,no
Kyrgyzstan,Asia,no
Lebanon,MENA,no
Liberia,Africa,no
Madagascar,Africa,no
Malawi,Africa,no
Maldives,SIDS,yes
Marshall Islands,SIDS,no
Mongolia,Asia,no
Morocco,MENA,yes
Mozambique,Africa,no
Myanmar,Asia,no
Nepal,Asia,yes
Nicaragua,LatAm,no
Niger,Africa,no
Palau,SIDS,no
Palestine,MENA,no
Papua New Guinea,SIDS,no
Philippines,Asia,yes
Rwanda,Africa,no
Saint Lucia,SIDS,no
Samoa,SIDS,no
Senegal,Africa,yes
Solomon Islands,SIDS,no
South Sudan,Africa,no
Sri Lanka,Asia,no
Sudan,Africa,no
Tanzania,Africa,no
Timor-Leste,Asia,no
Togo,Africa,no
Tonga,SIDS,no
Trinidad and Tobago,SIDS,no
Tunisia,MENA,no
Tuvalu,SIDS,yes
Uganda,Africa,no
Vanuatu,SIDS,no
Vietnam,Asia,yes
Yemen,MENA,no
Zambia,Africa,no
