# Source: https://gain.nd.edu/our-work/country-index/,,,
# Year: 2024 release (data through 2022),,,
"# vulnerability lower=better, readiness higher=better",,,
country,vulnerability,readiness,rank_2024
Brazil,0.46,0.45,76
EU,0.32,0.71,
USA,0.29,0.71,18
China,0.39,0.5,64
India,0.49,0.4,111
AOSIS,0.55,0.35,
Korea,0.32,0.62,31
Saudi,0.41,0.51,68
Japan,0.31,0.65,19
AILAC,0.45,0.5,
AGN,0.55,0.32,
LMDC,0.48,0.42,
Multi,0.4,0.55,
Canada,0.3,0.74,11
Australia,0.31,0.71,16
Norway,0.27,0.81,2
UK,0.31,0.71,17
Germany,0.29,0.74,12
France,0.3,0.7,20
Mexico,0.43,0.45,77
Indonesia,0.45,0.43,92
South Africa,0.45,0.45,85
Egypt,0.49,0.41,109
Türkiye,0.36,0.51,63
Maldives,0.5,0.42,98
Marshall Is,0.55,0.38,130
Tuvalu,0.58,0.3,145
Bangladesh,0.52,0.36,128
Ethiopia,0.55,0.31,152
Nepal,0.51,0.38,130
Switzerland,0.26,0.79,3
Spain,0.34,0.66,29
Italy,0.33,0.67,27
New Zealand,0.28,0.78,4
Argentina,0.43,0.48,65
Colombia,0.42,0.49,70
Chile,0.38,0.61,36
Peru,0.46,0.44,88
Costa Rica,0.41,0.55,56
Vietnam,0.47,0.44,95
Thailand,0.43,0.5,72
Philippines,0.49,0.43,108
Pakistan,0.51,0.38,134
Iran,0.43,0.43,87
UAE,0.32,0.69,25
Qatar,0.33,0.66,28
Kenya,0.5,0.39,124
Ghana,0.47,0.43,100
Senegal,0.51,0.38,132
Morocco,0.42,0.49,74
