# Source: PRIMAP-hist v2.5 (Gütschow et al.),,,
# Unit: Mt CO2 per year (territorial),,,
country,year,co2_mt,yoy_change
Brazil,1990,327.58,
Brazil,1991,331.5,1.2
Brazil,1992,336.33,1.46
Brazil,1993,348.89,3.73
Brazil,1994,344.6,-1.23
Brazil,1995,334.42,-2.95
Brazil,1996,357.91,7.02
Brazil,1997,355.73,-0.61
Brazil,1998,360.48,1.33
Brazil,1999,368.35,2.18
Brazil,2000,373.89,1.5
Brazil,2001,388.64,3.95
Brazil,2002,387.24,-0.36
Brazil,2003,385.26,-0.51
Brazil,2004,379.62,-1.46
Brazil,2005,380.5,0.23
Brazil,2006,399.61,5.02
Brazil,2007,416.68,4.27
Brazil,2008,405.65,-2.65
Brazil,2009,408.06,0.6
Brazil,2010,420.2,2.97
Brazil,2011,399.61,-4.9
Brazil,2012,418.11,4.63
Brazil,2013,432.56,3.46
Brazil,2014,441.8,2.14
Brazil,2015,431.61,-2.31
Brazil,2016,443.94,2.86
Brazil,2017,446.51,0.58
Brazil,2018,457.94,2.56
Brazil,2019,436.59,-4.66
Brazil,2020,463.67,6.2
Brazil,2021,439.22,-5.27
Brazil,2022,427.86,-2.59
Brazil,2023,460.06,7.52
EU,1990,4220.76,
EU,1991,4415.88,4.62
EU,1992,4350.6,-1.48
EU,1993,4073.76,-6.36
EU,1994,4297.74,5.5
EU,1995,4029.11,-6.25
EU,1996,4106.15,1.91
EU,1997,4043.63,-1.52
EU,1998,4056.28,0.31
EU,1999,4103.56,1.17
EU,2000,4044.0,-1.45
EU,2001,3972.06,-1.78
EU,2002,3969.52,-0.06
EU,2003,3911.76,-1.46
EU,2004,3747.36,-4.2
EU,2005,3700.61,-1.25
EU,2006,3692.0,-0.23
EU,2007,3763.14,1.93
EU,2008,3642.86,-3.2
EU,2009,3887.79,6.72
EU,2010,3507.61,-9.78
EU,2011,3441.48,-1.89
EU,2012,3602.79,4.69
EU,2013,3633.03,0.84
EU,2014,3499.5,-3.68
EU,2015,3495.5,-0.11
EU,2016,3517.12,0.62
EU,2017,3326.19,-5.43
EU,2018,3157.6,-5.07
EU,2019,3209.14,1.63
EU,2020,3316.16,3.33
EU,2021,3048.78,-8.06
EU,2022,3152.77,3.41
EU,2023,3136.05,-0.53
USA,1990,6517.7,
USA,1991,6665.22,2.26
USA,1992,6579.88,-1.28
USA,1993,6857.26,4.22
USA,1994,6472.59,-5.61
USA,1995,6182.86,-4.48
USA,1996,6136.4,-0.75
USA,1997,6030.9,-1.72
USA,1998,6303.89,4.53
USA,1999,5969.14,-5.31
USA,2000,6003.32,0.57
USA,2001,6093.57,1.5
USA,2002,5775.08,-5.23
USA,2003,5795.29,0.35
USA,2004,5470.55,-5.6
USA,2005,5547.79,1.41
USA,2006,5580.9,0.6
USA,2007,5691.31,1.98
USA,2008,5764.05,1.28
USA,2009,5505.35,-4.49
USA,2010,5494.75,-0.19
USA,2011,5422.79,-1.31
USA,2012,5512.95,1.66
USA,2013,5424.38,-1.61
USA,2014,5269.31,-2.86
USA,2015,5013.2,-4.86
USA,2016,5252.19,4.77
USA,2017,5115.01,-2.61
USA,2018,5184.87,1.37
USA,2019,4939.96,-4.72
USA,2020,5174.4,4.75
USA,2021,4779.58,-7.63
USA,2022,5003.42,4.68
USA,2023,4735.1,-5.36
China,1990,4331.85,
China,1991,4442.34,2.55
China,1992,4774.27,7.47
China,1993,5207.24,9.07
China,1994,5319.16,2.15
China,1995,5501.39,3.43
China,1996,5189.71,-5.67
China,1997,5909.41,13.87
China,1998,6083.79,2.95
China,1999,6080.01,-0.06
China,2000,6259.92,2.96
China,2001,6577.54,5.07
China,2002,7126.63,8.35
China,2003,6753.25,-5.24
China,2004,7079.95,4.84
China,2005,7671.09,8.35
China,2006,7466.71,-2.66
China,2007,7681.14,2.87
China,2008,7987.36,3.99
China,2009,7858.06,-1.62
China,2010,8415.16,7.09
China,2011,8247.44,-1.99
China,2012,8988.52,8.99
China,2013,8954.85,-0.37
China,2014,9778.94,9.2
China,2015,9428.78,-3.58
China,2016,9939.19,5.41
China,2017,9364.95,-5.78
