# Source: UNFCCC participant statistics (provisional list of attendees),,,
country,cop,delegation_size
Brazil,COP25,788
Brazil,COP26,786
Brazil,COP27,791
Brazil,COP28,856
Brazil,COP29,789
Brazil,COP30,2040
EU,COP25,619
EU,COP26,583
EU,COP27,586
EU,COP28,606
EU,COP29,613
EU,COP30,669
USA,COP25,745
USA,COP26,707
USA,COP27,648
USA,COP28,628
USA,COP29,717
USA,COP30,791
China,COP25,803
China,COP26,791
China,COP27,842
China,COP28,683
China,COP29,775
China,COP30,839
India,COP25,652
India,COP26,585
India,COP27,622
India,COP28,614
India,COP29,646
India,COP30,533
AOSIS,COP25,105
AOSIS,COP26,84
AOSIS,COP27,73
AOSIS,COP28,93
AOSIS,COP29,90
AOSIS,COP30,108
Korea,COP25,266
Korea,COP26,219
Korea,COP27,271
Korea,COP28,224
Korea,COP29,247
Korea,COP30,242
Saudi,COP25,303
Saudi,COP26,324
Saudi,COP27,319
Saudi,COP28,310
Saudi,COP29,319
Saudi,COP30,314
Japan,COP25,328
Japan,COP26,324
Japan,COP27,333
Japan,COP28,367
Japan,COP29,341
Japan,COP30,431
AILAC,COP25,73
AILAC,COP26,71
AILAC,COP27,86
AILAC,COP28,91
AILAC,COP29,84
AILAC,COP30,86
AGN,COP25,91
AGN,COP26,79
AGN,COP27,68
AGN,COP28,75
AGN,COP29,87
AGN,COP30,68
LMDC,COP25,100
LMDC,COP26,102
LMDC,COP27,96
LMDC,COP28,107
LMDC,COP29,105
LMDC,COP30,123
Multi,COP25,212
Multi,COP26,187
Multi,COP27,188
Multi,COP28,183
Multi,COP29,219
Multi,COP30,188
Canada,COP25,278
Canada,COP26,300
Canada,COP27,259
Canada,COP28,271
Canada,COP29,228
Canada,COP30,249
Australia,COP25,216
Australia,COP26,239
Australia,COP27,257
Australia,COP28,229
Australia,COP29,236
Australia,COP30,233
Norway,COP25,221
Norway,COP26,217
Norway,COP27,205
Norway,COP28,179
Norway,COP29,218
Norway,COP30,207
UK,COP25,392
UK,COP26,1046
UK,COP27,418
UK,COP28,337
UK,COP29,405
UK,COP30,354
Germany,COP25,303
Germany,COP26,283
Germany,COP27,315
Germany,COP28,365
Germany,COP29,346
Germany,COP30,342
France,COP25,213
France,COP26,299
France,COP27,295
France,COP28,264
France,COP29,262
France,COP30,279
Mexico,COP25,257
Mexico,COP26,196
Mexico,COP27,210
Mexico,COP28,249
Mexico,COP29,210
Mexico,COP30,211
Indonesia,COP25,201
Indonesia,COP26,175
Indonesia,COP27,204
Indonesia,COP28,175
Indonesia,COP29,217
Indonesia,COP30,200
South Africa,COP25,245
South Africa,COP26,205
South Africa,COP27,227
South Africa,COP28,173
South Africa,COP29,197
South Africa,COP30,206
Egypt,COP25,822
Egypt,COP26,582
Egypt,COP27,2308
Egypt,COP28,741
Egypt,COP29,807
Egypt,COP30,749
Türkiye,COP25,201
Türkiye,COP26,189
Türkiye,COP27,175
Türkiye,COP28,203
Türkiye,COP29,588
Türkiye,COP30,240
Maldives,COP25,32
Maldives,COP26,36
Maldives,COP27,29
Maldives,COP28,33
Maldives,COP29,35
Maldives,COP30,37
Marshall Is,COP25,25
Marshall Is,COP26,21
Marshall Is,COP27,19
Marshall Is,COP28,23
Marshall Is,COP29,23
Marshall Is,COP30,23
Tuvalu,COP25,16
Tuvalu,COP26,20
Tuvalu,COP27,18
Tuvalu,COP28,19
Tuvalu,COP29,20
Tuvalu,COP30,19
Bangladesh,COP25,133
Bangladesh,COP26,157
Bangladesh,COP27,133
Bangladesh,COP28,126
Bangladesh,COP29,131
Bangladesh,COP30,149
Ethiopia,COP25,91
Ethiopia,COP26,94
Ethiopia,COP27,100
Ethiopia,COP28,85
Ethiopia,COP29,74
Ethiopia,COP30,92
Nepal,COP25,51
Nepal,COP26,46
Nepal,COP27,54
Nepal,COP28,53
Nepal,COP29,45
Nepal,COP30,52
Switzerland,COP25,107
Switzerland,COP26,93
Switzerland,COP27,114
Switzerland,COP28,109
Switzerland,COP29,101
Switzerland,COP30,115
Spain,COP25,1195
Spain,COP26,358
Spain,COP27,395
Spain,COP28,418
Spain,COP29,352
Spain,COP30,394
Italy,COP25,230
Italy,COP26,282
Italy,COP27,187
Italy,COP28,245
Italy,COP29,222
Italy,COP30,227
New Zealand,COP25,166
New Zealand,COP26,139
New Zealand,COP27,171
New Zealand,COP28,133
New Zealand,COP29,144
New Zealand,COP30,133
Argentina,COP25,102
Argentina,COP26,110
Argentina,COP27,106
Argentina,COP28,112
Argentina,COP29,86
Argentina,COP30,132
Colombia,COP25,137
Colombia,COP26,164
Colombia,COP27,125
Colombia,COP28,144
Colombia,COP29,184
Colombia,COP30,127
