"# Source: OECD CRS database 2022, climate adaptation marker",,,
# Unit: USD millions (Rio marker 'principal' commitments),,,
donor,recipient,amount_usd_million,share_of_donor_pct
Germany,India,153.8,6.41
Germany,Bangladesh,70.9,2.95
Germany,Ethiopia,104.6,4.36
Germany,Indonesia,97.6,4.07
Germany,Vietnam,166.9,6.96
Germany,Philippines,158.9,6.62
Germany,Pakistan,188.0,7.83
Germany,Kenya,79.2,3.3
Germany,Ghana,124.5,5.19
Germany,Senegal,71.5,2.98
Germany,Egypt,97.0,4.04
Germany,Morocco,135.7,5.66
Germany,Nepal,71.1,2.96
Germany,Maldives,94.3,3.93
Germany,Marshall Is,155.2,6.47
Germany,Tuvalu,141.1,5.88
Germany,Mexico,97.3,4.05
Germany,Colombia,147.1,6.13
Germany,Peru,176.8,7.37
Germany,Brazil,68.4,2.85
Japan,India,107.8,5.99
Japan,Bangladesh,98.9,5.5
Japan,Ethiopia,69.4,3.85
Japan,Indonesia,54.1,3.01
Japan,Vietnam,120.3,6.69
Japan,Philippines,69.1,3.84
Japan,Pakistan,48.9,2.72
Japan,Kenya,49.3,2.74
Japan,Ghana,111.3,6.18
Japan,Senegal,91.1,5.06
Japan,Egypt,107.9,6.0
Japan,Morocco,101.5,5.64
Japan,Nepal,85.6,4.75
Japan,Maldives,121.6,6.76
Japan,Marshall Is,72.5,4.03
Japan,Tuvalu,86.9,4.83
Japan,Mexico,109.8,6.1
Japan,Colombia,92.4,5.13
Japan,Peru,112.4,6.25
Japan,Brazil,89.0,4.94
USA,India,103.6,6.91
USA,Bangladesh,46.9,3.13
USA,Ethiopia,62.6,4.17
USA,Indonesia,67.9,4.53
USA,Vietnam,49.9,3.32
USA,Philippines,63.0,4.2
USA,Pakistan,51.7,3.45
USA,Kenya,66.9,4.46
USA,Ghana,97.7,6.51
USA,Senegal,74.4,4.96
USA,Egypt,74.8,4.99
USA,Morocco,61.0,4.07
USA,Nepal,66.0,4.4
USA,Maldives,123.5,8.24
USA,Marshall Is,98.7,6.58
USA,Tuvalu,95.4,6.36
USA,Mexico,57.7,3.85
USA,Colombia,105.7,7.05
USA,Peru,57.0,3.8
USA,Brazil,75.6,5.04
France,India,79.5,7.23
France,Bangladesh,60.8,5.53
France,Ethiopia,56.4,5.13
France,Indonesia,63.2,5.75
France,Vietnam,71.7,6.51
France,Philippines,68.1,6.19
France,Pakistan,38.9,3.54
France,Kenya,28.4,2.58
France,Ghana,43.5,3.96
France,Senegal,41.0,3.72
France,Egypt,37.9,3.45
France,Morocco,77.0,7.0
France,Nepal,73.4,6.68
France,Maldives,43.5,3.95
France,Marshall Is,61.7,5.6
France,Tuvalu,47.8,4.34
France,Mexico,75.5,6.86
France,Colombia,51.2,4.65
France,Peru,40.8,3.71
France,Brazil,39.8,3.62
UK,India,47.0,5.22
UK,Bangladesh,33.8,3.75
UK,Ethiopia,48.0,5.34
UK,Indonesia,61.9,6.88
UK,Vietnam,39.8,4.43
UK,Philippines,31.9,3.54
UK,Pakistan,66.3,7.37
UK,Kenya,44.7,4.97
UK,Ghana,26.2,2.91
UK,Senegal,24.2,2.69
UK,Egypt,27.0,3.0
UK,Morocco,49.9,5.55
UK,Nepal,57.2,6.36
UK,Maldives,40.8,4.54
UK,Marshall Is,25.0,2.77
UK,Tuvalu,39.0,4.34
UK,Mexico,66.3,7.36
UK,Colombia,45.6,5.06
UK,Peru,65.1,7.24
UK,Brazil,60.3,6.7
EU,India,55.9,2.54
EU,Bangladesh,133.5,6.07
EU,Ethiopia,129.3,5.88
EU,Indonesia,113.4,5.16
EU,Vietnam,83.9,3.81
EU,Philippines,124.8,5.67
EU,Pakistan,66.9,3.04
EU,Kenya,102.2,4.65
EU,Ghana,104.3,4.74
EU,Senegal,159.0,7.23
EU,Egypt,150.5,6.84
EU,Morocco,83.5,3.8
EU,Nepal,109.4,4.97
EU,Maldives,74.2,3.37
EU,Marshall Is,154.5,7.02
EU,Tuvalu,149.9,6.81
EU,Mexico,87.3,3.97
EU,Colombia,124.6,5.66
EU,Peru,121.3,5.51
EU,Brazil,71.4,3.25
Norway,India,23.9,6.29
Norway,Bangladesh,19.7,5.18
Norway,Ethiopia,24.2,6.37
Norway,Indonesia,19.5,5.13
Norway,Vietnam,9.5,2.49
Norway,Philippines,15.6,4.1
Norway,Pakistan,9.8,2.59
Norway,Kenya,27.0,7.12
Norway,Ghana,26.1,6.87
Norway,Senegal,25.2,6.63
Norway,Egypt,15.3,4.02
Norway,Morocco,10.6,2.78
Norway,Nepal,26.1,6.86
Norway,Maldives,27.4,7.21
Norway,Marshall Is,11.1,2.92
Norway,Tuvalu,18.7,4.91
Norway,Mexico,10.8,2.83
Norway,Colombia,23.9,6.28
Norway,Peru,24.0,6.3
Norway,Brazil,11.9,3.13
Canada,India,15.0,5.16
Canada,Bangladesh,16.1,5.55
Canada,Ethiopia,11.7,4.05
Canada,Indonesia,21.1,7.26
Canada,Vietnam,14.2,4.88
Canada,Philippines,10.9,3.77
Canada,Pakistan,15.9,5.5
Canada,Kenya,18.9,6.51
Canada,Ghana,10.8,3.71
Canada,Senegal,12.5,4.29
Canada,Egypt,22.9,7.91
Canada,Morocco,17.6,6.08
Canada,Nepal,14.4,4.96
Canada,Maldives,15.6,5.38
Canada,Marshall Is,9.5,3.29
Canada,Tuvalu,11.1,3.83
Canada,Mexico,12.9,4.43
Canada,Colombia,16.7,5.76
Canada,Peru,11.2,3.86
Canada,Brazil,11.0,3.81
Australia,India,6.5,2.97
Australia,Bangladesh,13.0,5.89
Australia,Ethiopia,8.4,3.8
Australia,Indonesia,16.1,7.32
Australia,Vietnam,15.6,7.08
Australia,Philippines,6.5,2.97
Australia,Pakistan,8.5,3.84
Australia,Kenya,13.4,6.09
Australia,Ghana,8.2,3.72
Australia,Senegal,7.2,3.29
Australia,Egypt,16.4,7.48
Australia,Morocco,12.3,5.58
Australia,Nepal,11.1,5.07
Australia,Maldives,14.7,6.69
Australia,Marshall Is,15.0,6.81
Australia,Tuvalu,7.9,3.6
Australia,Mexico,6.8,3.11
Australia,Colombia,10.7,4.85
Australia,Peru,10.6,4.81
Australia,Brazil,11.1,5.04
Switzerland,India,10.7,5.97
Switzerland,Bangladesh,10.3,5.7
Switzerland,Ethiopia,13.0,7.21
Switzerland,Indonesia,5.2,2.91
Switzerland,Vietnam,7.9,4.38
Switzerland,Philippines,7.3,4.08
Switzerland,Pakistan,11.9,6.61
Switzerland,Kenya,6.5,3.64
Switzerland,Ghana,6.0,3.35
Switzerland,Senegal,8.3,4.61
Switzerland,Egypt,8.1,4.48
Switzerland,Morocco,6.8,3.78
Switzerland,Nepal,6.6,3.64
Switzerland,Maldives,12.4,6.91
Switzerland,Marshall Is,8.2,4.58
Switzerland,Tuvalu,11.9,6.61
Switzerland,Mexico,9.2,5.1
Switzerland,Colombia,4.8,2.67
Switzerland,Peru,13.1,7.28
Switzerland,Brazil,11.7,6.49
